                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3252,                 2.8387,                 1.2261,                 0.9973,                0.35743,                0.71514,                 0.4606,                 1.1703,                  3.081,                 1.0531,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.3106,                 1.8011,                 1.1933,                0.89465,                0.88491,                0.91907,                0.56902,                 1.2926,                 1.3862,                 1.1609,              0.0011918,              0.0011918,              0.0011918
                      3,                 1.2846,                 1.4581,                 1.2016,                 0.9339,                0.86944,                0.92655,                 0.5998,                 1.2616,                 1.0201,                 1.1508,              0.0015955,              0.0015955,              0.0015955
                      4,                 1.2617,                 1.1628,                 1.1632,                0.91781,                0.85783,                0.92429,                0.59158,                 1.2319,                 1.0224,                 1.1062,               0.001406,               0.001406,               0.001406
                      5,                 1.2531,                 1.0037,                 1.1497,                0.92141,                0.88975,                0.94316,                0.59972,                 1.2732,                0.83069,                 1.1543,               0.001406,               0.001406,               0.001406
                      6,                 1.2386,                0.88019,                 1.1509,                0.96076,                0.91199,                0.95586,                0.63893,                 1.1703,                0.70721,                 1.0709,               0.001208,               0.001208,               0.001208
                      7,                 1.1808,                0.80862,                 1.0963,                0.97926,                0.93617,                 0.9709,                0.65707,                 1.1623,                0.65174,                 1.0771,                0.00101,                0.00101,                0.00101
